data,sigla,id_ext,local,casa,semana,ano
2020-03-10T15:00:00Z,PEC 15/2015,1198512,Comissão Especial,camara,11,2020
2020-03-11T09:30:00Z,PEC 15/2015,1198512,Comissão Especial,camara,11,2020
2020-04-01T19:34:00Z,PEC 10/2020,2242583,Plenário,camara,14,2020
2020-04-03T10:00:00Z,PEC 10/2020,2242583,Plenário,camara,14,2020
2020-04-13T16:00:00Z,PEC 00010/2020,141443,Local não informado,senado,16,2020
2020-04-17T10:00:00Z,PEC 00010/2020,141443,Local não informado,senado,16,2020
2020-04-22T13:55:00Z,PL 1282/2020,2247028,Plenário,camara,17,2020
2020-05-05T11:00:00Z,PLP 39/2020,2251392,Plenário,camara,19,2020
2020-05-05T16:40:00Z,PLP 39/2020,2251392,Plenário,camara,19,2020
2020-05-26T13:55:00Z,PL 1075/2020,2242136,Plenário,camara,22,2020
2020-05-26T13:55:00Z,PL 2159/2020,2250558,Plenário,camara,22,2020
2020-06-02T16:00:00Z,PL 01542/2020,141436,Local não informado,senado,23,2020
2020-06-18T16:00:00Z,PL 01328/2020,141368,Local não informado,senado,25,2020
