id_ext,casa,fase_global,local,data_inicio,data_fim,local_casa,pulou
138555,senado,Pré-Construção,,NA,NA,senado,TRUE
138555,senado,Construção,Comissões,2019-09-19T12:00:00Z,2019-11-06T12:00:00Z,senado,FALSE
138555,senado,Construção,Plenário,2019-09-09T12:00:00Z,2019-12-02T15:00:00Z,senado,FALSE
138555,senado,Pré-Revisão I,,NA,NA,senado,TRUE
2231327,camara,Revisão I,Comissões,2019-12-02T00:00:00Z,2019-12-18T00:00:00Z,camara,FALSE
2231327,camara,Revisão I,Plenário,2019-12-02T15:00:00Z,NA,camara,FALSE
2231327,camara,Pré-Revisão II,,NA,NA,camara,FALSE
2231327,camara,Revisão II,Comissões,NA,NA,senado,FALSE
2231327,camara,Revisão II,Plenário,NA,NA,senado,FALSE
2231327,camara,Promulgação/Veto,Presidência da República,NA,NA,presidência da república,FALSE
2231327,camara,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
1198512,camara,Pré-Construção,,NA,NA,camara,TRUE
1198512,camara,Construção,Comissões,2015-04-23T17:14:00Z,NA,camara,FALSE
1198512,camara,Construção,Plenário,NA,NA,camara,FALSE
1198512,camara,Pré-Revisão I,,NA,NA,camara,FALSE
1198512,camara,Revisão I,Comissões,NA,NA,senado,FALSE
1198512,camara,Revisão I,Plenário,NA,NA,senado,FALSE
1198512,camara,Pré-Revisão II,,NA,NA,camara,FALSE
1198512,camara,Revisão II,Comissões,NA,NA,camara,FALSE
1198512,camara,Revisão II,Plenário,NA,NA,camara,FALSE
1198512,camara,Promulgação/Veto,Presidência da República,NA,NA,presidência da república,FALSE
1198512,camara,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
2230007,camara,Pré-Construção,,NA,NA,camara,TRUE
2230007,camara,Construção,Comissões,2019-11-25T00:00:00Z,NA,camara,FALSE
2230007,camara,Construção,Plenário,NA,NA,camara,FALSE
2230007,camara,Pré-Revisão I,,NA,NA,camara,FALSE
2230007,camara,Revisão I,Comissões,NA,NA,senado,FALSE
2230007,camara,Revisão I,Plenário,NA,NA,senado,FALSE
2230007,camara,Pré-Revisão II,,NA,NA,camara,FALSE
2230007,camara,Revisão II,Comissões,NA,NA,camara,FALSE
2230007,camara,Revisão II,Plenário,NA,NA,camara,FALSE
2230007,camara,Promulgação/Veto,Presidência da República,NA,NA,presidência da república,FALSE
2230007,camara,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
2195689,camara,Pré-Construção,,NA,NA,camara,TRUE
2195689,camara,Construção,Comissões,2019-04-15T16:29:00Z,NA,camara,FALSE
2195689,camara,Construção,Plenário,NA,NA,camara,FALSE
2195689,camara,Pré-Revisão I,,NA,NA,camara,FALSE
2195689,camara,Revisão I,Comissões,NA,NA,senado,FALSE
2195689,camara,Revisão I,Plenário,NA,NA,senado,FALSE
2195689,camara,Pré-Revisão II,,NA,NA,camara,FALSE
2195689,camara,Revisão II,Comissões,NA,NA,camara,FALSE
2195689,camara,Revisão II,Plenário,NA,NA,camara,FALSE
2195689,camara,Promulgação/Veto,Presidência da República,NA,NA,presidência da república,FALSE
2195689,camara,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
2174306,camara,Pré-Construção,,NA,NA,camara,TRUE
2174306,camara,Construção,Comissões,2018-05-14T00:00:00Z,NA,camara,FALSE
2174306,camara,Construção,Plenário,NA,NA,camara,FALSE
2174306,camara,Pré-Revisão I,,NA,NA,camara,FALSE
2174306,camara,Revisão I,Comissões,NA,NA,senado,FALSE
2174306,camara,Revisão I,Plenário,NA,NA,senado,FALSE
2174306,camara,Pré-Revisão II,,NA,NA,camara,FALSE
2174306,camara,Revisão II,Comissões,NA,NA,camara,FALSE
2174306,camara,Revisão II,Plenário,NA,NA,camara,FALSE
2174306,camara,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
2174306,camara,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
501465,camara,Pré-Construção,,NA,NA,camara,TRUE
501465,camara,Construção,Comissões,2011-05-25T16:35:00Z,NA,camara,FALSE
501465,camara,Construção,Plenário,NA,NA,camara,FALSE
501465,camara,Pré-Revisão I,,NA,NA,camara,FALSE
501465,camara,Revisão I,Comissões,NA,NA,senado,FALSE
501465,camara,Revisão I,Plenário,NA,NA,senado,FALSE
501465,camara,Pré-Revisão II,,NA,NA,camara,FALSE
